puuid,leaguePoints
iBz9gY0nCNVg8TMsgfHNTdnKw93Gg6Y_6engzmu-Cj3FUd7jhHc76nzBoBc-xNjyMAA8WKApgXitRg,1007
ZosVNRoF_sola40P0vb9njAmyH7xVLs50T9Cwy0gEDnaXQ_-OGcvTdlcNzwZ8hvmLNMtmfRs-y0fIw,1007
hcmywcsXP-c9w0KRKo24GeqkHFUigC2aKgpOWgdNp4OEv-Th8yWiivOWOrbcK9fyh5htf5e8sssXeQ,1006
FGAMK8SWcNroX8bTEoLWP50PnQdzuLjGivcuY17d_-aayWjV5yUUN_nGpn2p-uLPNUySHqPoNV7RDA,1005
sVv7nSFqsGwbFI9fMb6zLwcOQ27fQWkFqR4NCH_d-2Gg-YrQvq4eKWQqKds5SSQHl7d-eiuHOJsW_Q,1005
nRRNEL5puG2DATD2pOkYF2Jbj5RYfYf4LdbqqZyHveUpjbOfeaheh1Qu0jc_9A_wNr4hITYijQuyUA,1003
pkxdovH7B8Yiz1RVp5x0Zog8d_gqmrt8tDA2PhEOsqqHLpMqPlqgf88OJ3UuXWF_bnQ3UYe-Xmhfyg,1000
tMRAbxQ18k1sYPCGuEwlCQMP7liXPUwbGwOHFGb1MwGX8tV63_FLVum6hwbjnaKrVugyNFwenrk9bQ,1000
OSw3S6PewMM1po22AAKhUwdCSTrlyQFvwxRIoa3SV3hxFNZfPNwO92lNNFzOu3Jnfs1JdIjZ1q2uQQ,998
8Tn25rNlPL3eMTdMlr0mOyuelN3kbxZESNoG7-STZ9L_4Vxlhi-UzU4eI2vqLKOpp3GoHs-ha5W4Rw,998
NKpEj3nFAS-bOf5L5VQRqKqIX0tlVyss2M1r3GjR_0qxLnyrveo-QuAND-bIZ99Ulsy9_JBqanhvtw,997
2cx13Rxu-bWhLpypoki-ayxjQvE6i6vc4P2raU_-oK-Y5d2Q1Qh5zNW3TNjwOvxuIKgTNsBVmf6kng,996
